Patent_Number,Title,Date,CPC,Abstract
"10,181,092",Method and system for reconstructing super-resolution image,15-Jan-19,G06K 9/66��(20130101); G06T 3/4053��(20130101); G06T 11/60��(20130101); G06T 5/50��(20130101); G06T 2207/20224��(20130101),"A method for reconstructing a super-resolution image, including: 1) reducing the resolution of an original high-resolution image to obtain an equal low-resolution image, respectively expressed as matrix forms y.sub.h and y.sub.l; 2) respectively conducting dictionary training on y.sub.l and y.sub.hl to obtain a low-resolution image dictionary D.sub.l; 3) dividing the sparse representation coefficients .alpha..sub.l and .alpha..sub.hl into training sample coefficients .alpha..sub.l.sub._.sub.train and .alpha..sub.hl.sub._.sub.train and test sample coefficients .alpha..sub.l.sub._.sub.test and .alpha..sub.hl.sub._.sub.test; 4) constructing an L-layer deep learning network using a root-mean-square error as a cost function; 5) iteratively optimizing network parameters so as to minimize the cost function by using the low-resolution image sparse coefficient .alpha..sub.l.sub._.sub.train as the input of the deep learning network; 6) inputting the low-resolution image sparse coefficient .alpha..sub.l.sub._.sub.test as the test portion into the trained deep learning network in 5), outputting to obtain a predicted difference image sparse coefficient {circumflex over (.alpha.)}.sub.hl.sub._.sub.test, computing an error between the {circumflex over (.alpha.)}.sub.hl.sub._.sub.test."
"10,178,228",Method and apparatus for classifying telephone dialing test audio based on artificial intelligence,8-Jan-19,G06N 3/0445��(20130101); G06N 3/08��(20130101); H04M 3/26��(20130101); H04M 3/42059��(20130101); G10L 25/30��(20130101); G10L 25/51��(20130101); G10L 25/78��(20130101),"A method and an apparatus for classifying a telephone dialing test audio based on AI is provided. Data of a telephone dialing test audio is acquired first, then the data of the telephone dialing test audio is processed via a preset classifier so as to obtain similarities among the data of the telephone dialing test audio and telephone types in the preset classifier, in which the preset classifier is a��deep-learning��model determined by historical data of telephone dialing test audios and their corresponding telephone types; finally, the telephone type corresponding to the telephone dialing test audio is determined according to the similarities. With the method and apparatus, the telephone dialing test audio is classified via machine learning to determine whether a user is a normal user, thus human costs is saved and an efficiency of dialing test is increased."
"10,176,580",Diagnostic system and diagnostic method,8-Jan-19,G06F 16/63��(20190101); G06N 99/00��(20130101); G06T 7/0014��(20130101); G06T 9/002��(20130101); G06K 9/6269��(20130101); G06K 9/6256��(20130101); G06K 9/6215��(20130101); G06K 9/66��(20130101); G06T 9/00��(20130101); G06F 19/00��(20130101); G16H 50/20��(20180101); G06N 20/00��(20190101); G06F 16/51��(20190101); G06T 2207/20084��(20130101); G06T 2207/30012��(20130101); G06K 2209/051��(20130101); G06K 2209/05��(20130101),"A first interface for reading a medical patient image record is provided. Furthermore, provision is made of an encoding module for machine-based learning of data encodings of image patterns by an unsupervised��deep learning��and for establishing a��deep-learning-reduced data encoding of a patient image pattern contained in the patient image record. Furthermore, provision is made of a comparison module for comparing the established data encoding with reference encodings of reference image patterns stored in a database and for selecting a reference image pattern with a reference encoding which is similar to the established data encoding. An assignment module serves to establish a key term assigned to the selected reference image pattern and to assign the established key term to the patient image pattern. A second interface is provided for outputting the established key term with assignment to the patient image pattern."
"10,169,084",Deep learning via dynamic root solvers,"January 1, 2019",G06F 17/10 (20130101); G06N 20/00 (20190101); G06F 9/50 (20130101); G06T 1/20 (20130101),"The present invention provides a computer implemented method, system, and computer program product of deep learning via dynamic root solvers. In an embodiment, the present invention includes (1) forming an initial set of GPUs into an initial binary tree architecture, where the initial set includes initially idle GPUs and an initial root solver GPU as the root of the initial binary tree architecture, (2) calculating initial gradients and initial adjusted weight data, (3) choosing a first currently idle GPU as a current root solver GPU, (4) forming a current set of GPUs into a current binary tree architecture, where the current set includes the additional currently idle GPUs and the current root solver GPU as the root of the current binary tree architecture, (5) calculating current gradients and current adjusted weight data, and (6) transmitting an initial update to the weight data to the available GPUs."
"10,163,042",Finding missing persons by learning features for person attribute classification based on deep learning,"December 25, 2018",G06K 9/00536 (20130101); G06K 9/00677 (20130101); G06K 9/00268 (20130101); G06K 9/66 (20130101); G06K 9/46 (20130101); G06K 9/00684 (20130101),"An embodiment of the invention provides a method for finding missing persons by learning features for person attribute classification based on deep learning. A first component of a neural network identifies geographic locations of training images; and, a second component of the neural network identifies weather information for each of the identified geographic locations. A third component of the neural network generates image pairs from the training images. For each image pair of the image pairs, the third component of the neural network determines whether images of the image pair include the same person. The neural network generates neural network parameters with the identified geographic locations, the weather information for each of the identified geographic locations, and the determination of whether the images of the image pairs include the same person."
"10,157,479",Synthesizing training data for broad area geospatial object detection,"December 18, 2018",9/00637 (20130101); G06T 7/73 (20170101); G06N 3/0454 (20130101); G06T 7/75 (20170101); G06K 9/6256 (20130101); G06T 5/009 (20130101); G06T 15/50 (20130101); G06T 17/05 (20130101); G06T 7/90 (20170101); G06T 2207/20081 (20130101); G06T 2207/10032 (20130101),"A system for broad area geospatial object recognition, identification, classification, location and quantification, comprising an image manipulation module to create synthetically-generated images to imitate and augment an existing quantity of orthorectified geospatial images; together with a deep learning module and a convolutional neural network serving as an image analysis module, to analyze a large corpus of orthorectified geospatial images, identify and demarcate a searched object of interest from within the corpus, locate and quantify the identified or classified objects from the corpus of geospatial imagery available to the system. The system reports results in a requestor's preferred format."
"10,157,314",Aerial image processing,"December 18, 2018",3/08 (20130101); G06K 9/6267 (20130101); G06K 9/6256 (20130101); G06K 9/4604 (20130101); G06K 9/2027 (20130101); G06K 9/6218 (20130101); G06T 7/60 (20130101); G06K 9/54 (20130101); G01S 19/42 (20130101); G06T 2207/10032 (20130101); G06T 7/11 (20170101),"Methods for aerial image processing and object identification using an electronic computing device are presented, the methods including: causing the electronic computing device to build a deep learning model; receiving actual aerial image data; applying the deep learning model to the actual aerial image data to identify areas of interest; post-processing the areas of interest; and returning a number of classified objects corresponding with the areas of interest to a user. In some embodiments, methods further include: applying global positioning system (GPS) mapping to the number of classified objects with respect to the actual aerial image data."
"10,157,045",Systems and methods for automatically generating code for deep learning systems,"December 18, 2018",G06F 8/35 (20130101); G06N 3/10 (20130101); G06F 9/44563 (20130101); G06N 3/08 (20130101); G06N 3/105 (20130101); G06F 8/30 (20130101); G06N 3/0454 (20130101); G06N 3/0481 (20130101); G06N 3/04 (20130101); G06F 8/20 (20130101),Systems and methods may automatically generate code for deep learning networks. The systems methods may provide a code generation framework for generating target specific code. The code generation framework may include one or more predefined class hierarchies for constructing objects of the generated code. The objects of the class hierarchies may provide an interface to predefined libraries of deep learning functions optimized for use on a target platform. The systems and methods may perform one or more optimizations on the code being generated.
"10,127,659",Deep learning medical systems and methods for image acquisition ,"November 13, 2018",G06N 3/04 (20130101); G06N 3/08 (20130101); G06T 7/0012 (20130101); G06F 19/00 (20130101); G16H 30/40 (20180101); G16H 40/40 (20180101); G06T 2207/10004 (20130101); G06T 2207/20081 (20130101); G06T 2207/20084 (20130101),"Methods and apparatus for improved deep learning for image acquisition are provided. An imaging system configuration apparatus includes a training learning device including a first processor to implement a first deep learning network (DLN) to learn a first set of imaging system configuration parameters based on a first set of inputs from a plurality of prior image acquisitions to configure at least one imaging system for image acquisition, the training learning device to receive and process feedback including operational data from the plurality of image acquisitions by the at least one imaging system. The example apparatus includes a deployed learning device including a second processor to implement a second DLN, the second DLN generated from the first DLN of the training learning device, the deployed learning device configured to provide a second imaging system configuration parameter to the imaging system in response to receiving a second input for image acquisition."
"10,127,040",Processor and method for executing memory access and computing instructions for host matrix operations,"November 13, 2018",G06F 9/30043 (20130101); G06F 12/0875 (20130101); G06F 9/3877 (20130101); G06F 2212/452 (20130101),"The present application discloses a processor and a method for executing an instruction on a processor. A specific implementation of the processor includes: a host interaction device, an instruction control device, an off-chip memory, an on-chip cache and an array processing device, wherein the host interaction device is configured to exchange data and instructions with a host connected with the processor, wherein the exchanged data has a granularity of a matrix; the off-chip memory is configured to store a matrix received from the host, on which a matrix operation is to be performed; and the instruction control device is configured to convert an external instruction received from the host to a series of memory access instructions and a series of computing instructions and execute the converted instructions. The implementation can improve the execution efficiency of a deep learning algorithm."
"10,115,055",Systems methods circuits and associated computer executable code for deep learning based natural language understanding,"October 30, 2018",G06N 3/088 (20130101); G06F 17/279 (20130101); G06N 3/0454 (20130101); G06N 3/0445 (20130101); G06F 17/2785 (20130101),"Disclosed are systems, methods, circuits and associated computer executable code for deep learning based natural language understanding, wherein training of one or more neural networks, includes: producing character strings inputs `noise` on a per-character basis, and introducing the produced `noise` into machine training character strings inputs fed to a `word tokenization and spelling correction language-model`, to generate spell corrected word sets outputs; feeding machine training word sets inputs, including one or more `right` examples of correctly semantically-tagged word sets, to a `word semantics derivation model`, to generate semantically tagged sentences outputs. Upon models reaching a training `steady state`, the `word tokenization and spelling correction language-model` is fed with input character strings representing `real` linguistic user inputs, generating word sets outputs that are fed as inputs to the word semantics derivation model for generating semantically tagged sentences outputs."
"10,112,113",Personalized data driven game training system,"October 30, 2018",A63F 13/5375 (20140902); A63F 13/67 (20140902); A63F 13/79 (20140902); A63F 13/422 (20140902),"A video game console, a video game system, and a computer-implemented method are described. Generally, a video game and video game assistance are adapted to a player. For example, a narrative of the video game is personalized to an experience level of the player. Similarly, assistance in interacting with a particular context of the video game is also personalized. The personalization learns from historical interactions of players with the video game and, optionally, other video games. In an example, a deep learning neural network is implemented to generate knowledge from the historical interactions. The personalization is set according to the knowledge."
